Algo,Energy,Damp,y,γ,γfact,D,N,Assignments
rAP,0.5021438045311213,0.7,10.0,0.1,1.01,2,1000,0.91
AP,3.476690306546783,0.7,-1.0,-1.0,-1.0,2,1000,1.0
rAP,0.5035879354205978,0.7,10.0,0.1,1.01,2,1000,0.935
AP,3.7968290911835263,0.7,-1.0,-1.0,-1.0,2,1000,1.0
rAP,8.493840041460286,0.7,10.0,0.1,1.01,2,1000,0.999
AP,0.8724989168620348,0.7,-1.0,-1.0,-1.0,2,1000,0.849
rAP,0.48721717826327493,0.7,10.0,0.1,1.01,2,1000,0.854
AP,6.04201778453606,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,0.5230749765849485,0.7,10.0,0.1,1.01,2,1000,0.825
AP,0.938700472252392,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,0.47978616601960355,0.7,10.0,0.1,1.01,2,1000,0.6990000000000001
AP,4.812169417411316,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,0.5046058275136477,0.7,10.0,0.1,1.01,2,1000,0.985
AP,2.4412804726536916,0.7,-1.0,-1.0,-1.0,2,1000,0.984
rAP,0.4896319420599194,0.7,10.0,0.1,1.01,2,1000,0.974
AP,5.6573030269834925,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,12.955534370514954,0.7,10.0,0.1,1.01,2,1000,0.999
AP,1.6438838653650047,0.7,-1.0,-1.0,-1.0,2,1000,0.993
rAP,0.47916156326741194,0.7,10.0,0.1,1.01,2,1000,1.0
AP,10.65825160382778,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,0.49216908926839537,0.7,10.0,0.1,1.01,2,1000,0.915
AP,0.5061318968821942,0.7,-1.0,-1.0,-1.0,2,1000,0.774
rAP,3.8120248375663626,0.7,10.0,0.1,1.01,2,1000,0.991
AP,0.48923292426102355,0.7,-1.0,-1.0,-1.0,2,1000,0.92
rAP,0.48742891202319144,0.7,10.0,0.1,1.01,2,1000,0.75
AP,0.48595892177031236,0.7,-1.0,-1.0,-1.0,2,1000,0.85
rAP,5.875255079090514,0.7,10.0,0.1,1.01,2,1000,1.0
AP,9.733868651700975,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,6.361650539935484,0.7,10.0,0.1,1.01,2,1000,0.997
AP,0.4764438997597849,0.7,-1.0,-1.0,-1.0,2,1000,0.876
rAP,0.4764438997597849,0.7,10.0,0.1,1.01,2,1000,0.876
AP,5.378320943477425,0.7,-1.0,-1.0,-1.0,2,1000,0.969
rAP,2.831865492499744,0.7,10.0,0.1,1.01,2,1000,0.999
AP,2.2566996425900747,0.7,-1.0,-1.0,-1.0,2,1000,0.967
rAP,5.450911431527152,0.7,10.0,0.1,1.01,2,1000,0.999
AP,12.484442946982174,0.7,-1.0,-1.0,-1.0,2,1000,0.997
rAP,0.5189431248707977,0.7,10.0,0.1,1.01,2,1000,0.897
AP,4.130261792457562,0.7,-1.0,-1.0,-1.0,2,1000,1.0
rAP,0.5096163559688606,0.7,10.0,0.1,1.01,2,1000,0.945
AP,0.6038213084745313,0.7,-1.0,-1.0,-1.0,2,1000,1.0
rAP,0.47591767165729937,0.7,10.0,0.1,1.01,2,1000,0.973
AP,5.547649688085383,0.7,-1.0,-1.0,-1.0,2,1000,0.992
rAP,0.5014555941707817,0.7,10.0,0.1,1.01,2,1000,0.781
AP,7.937532506428184,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,0.48368739932921506,0.7,10.0,0.1,1.01,2,1000,0.911
AP,0.4927398958785235,0.7,-1.0,-1.0,-1.0,2,1000,0.779
rAP,0.4927398958785235,0.7,10.0,0.1,1.01,2,1000,0.779
AP,0.4828439252182871,0.7,-1.0,-1.0,-1.0,2,1000,0.7170000000000001
rAP,0.4808822591845536,0.7,10.0,0.1,1.01,2,1000,0.967
AP,0.48722189519602493,0.7,-1.0,-1.0,-1.0,2,1000,0.6719999999999999
rAP,0.478446001478506,0.7,10.0,0.1,1.01,2,1000,0.673
AP,4.465143754748407,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,0.5005152485998047,0.7,10.0,0.1,1.01,2,1000,0.894
AP,5.9485541414818055,0.7,-1.0,-1.0,-1.0,2,1000,1.0
rAP,0.47953107701718717,0.7,10.0,0.1,1.01,2,1000,0.963
AP,3.370758294014333,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,0.5086153617405429,0.7,10.0,0.1,1.01,2,1000,0.917
